org,repo,activity,comments,prs,commits,issues,authors,project,url
SemanticMediaWiki,SemanticMediaWiki,474,239,66,145,24,11,SemanticMediaWiki,""
WhisperSystems,Signal-iOS,473,266,43,126,38,11,WhisperSystems,""
iron-io,functions,470,95,49,291,35,50,iron-io,""
hechoendrupal,DrupalConsole,469,277,81,72,39,23,hechoendrupal,""
hashicorp,vault,468,299,42,75,52,20,HashiCorp Vault,vaultproject.io
haskell,cabal,466,349,39,38,40,15,haskell,""
elixir-lang,elixir,466,300,98,49,19,15,elixir-lang,""
coala,coala-bears,461,328,40,75,18,13,coala,""
sakaiproject,sakai,459,233,92,122,12,34,sakaiproject,""
silverstripe,silverstripe-framework,458,320,37,62,39,15,silverstripe,""
dailymotion,hls.js,456,278,20,112,46,15,dailymotion,""
mlr-org,mlr,454,259,28,142,25,22,mlr-org,""
curl,curl,454,297,25,100,32,22,curl,""
IQSS,dataverse,449,232,11,152,54,11,IQSS,""
blei-lab,edward,447,135,21,264,27,11,blei-lab,""
scipy,scipy,446,354,37,26,29,14,scipy,""
geoadmin,mf-chsdi3,446,217,42,175,12,16,geoadmin,""
Rice-Comp413-2016,RDFS,445,85,29,308,23,18,Rice-Comp413-2016,""
checkstyle,checkstyle,444,294,47,64,39,11,checkstyle,""
Graylog2,graylog2-server,441,163,50,145,83,11,Graylog2,""
pimcore,pimcore,436,183,23,164,66,24,pimcore,""
KeepSafe,aiohttp,434,233,27,140,34,16,KeepSafe,""
presidential-innovation-fellows,code-gov-web,433,172,68,163,30,14,presidential-innovation-fellows,""
shogun-toolbox,shogun,432,296,39,66,31,15,shogun-toolbox,""
PokemonGoF,PokemonGo-Bot,431,343,18,28,42,12,PokemonGoF,maps.pikabot.org
javaslang,javaslang,428,288,50,64,26,13,javaslang,""
twosigma,beaker-notebook,426,132,42,208,44,11,twosigma,""
bokeh,bokeh,424,319,22,43,40,11,bokeh,""
rsyslog,rsyslog,423,324,25,39,35,13,rsyslog,""
ParadiseSS13,Paradise,423,284,51,40,48,12,ParadiseSS13,nanotrasen.se/forum
celery,celery,422,233,26,83,80,17,celery,""
spotweb,spotweb,422,341,25,30,26,12,spotweb,""
notepad-plus-plus,notepad-plus-plus,420,266,39,29,86,13,notepad-plus-plus,""
servicecatalog,development,420,85,20,273,42,14,servicecatalog,""
octobercms,october,419,297,30,42,50,12,octobercms,""
ngageoint,hootenanny,419,191,30,166,32,13,ngageoint,""
commercialhaskell,stack,417,293,17,53,54,12,commercialhaskell,""
rathena,rathena,416,221,24,115,56,15,rathena,""
canjs,canjs,416,121,47,195,53,14,canjs,""
explosion,spaCy,412,201,25,140,46,21,explosion,""
kivy,kivy,412,276,22,77,37,15,kivy,""
lxc,lxc,409,281,47,56,25,13,lxc,""
supercollider,supercollider,408,303,41,36,28,13,supercollider,""
Shippable,base,407,57,135,132,83,18,Shippable,""
mipengine,mip-extensions,406,139,132,123,12,29,mipengine,""
domoticz,domoticz,404,247,39,90,28,22,domoticz,""
howdyai,botkit,399,291,27,47,34,15,howdyai,""
openthread,openthread,398,185,105,94,14,16,openthread,""
google,closure-compiler,397,300,26,32,39,18,Google Closure Compiler,developers.google.com/closure/compiler
raspberrypi,linux,396,303,14,60,19,18,raspberrypi,""
18F,cg-site,396,137,82,159,18,28,18F,""
Igalia,snabb,396,154,56,164,22,12,Igalia,""
AtomicGameEngine,AtomicGameEngine,395,247,36,60,52,11,AtomicGameEngine,""
fullstackreact,react-native-firestack,394,286,32,37,39,14,fullstackreact,""
codecombat,codecombat,392,49,30,291,22,18,codecombat,""
uber,deck.gl,392,106,83,182,21,21,uber,""
Leaflet,Leaflet,390,248,33,56,53,20,Leaflet,""
videojs,video.js,387,238,33,71,45,18,videojs,""
citusdata,citus,384,229,19,86,50,11,citusdata,""
wp-cli,wp-cli,383,164,90,101,28,12,wp-cli,""
camptocamp,c2cgeoportal,381,156,43,158,24,11,camptocamp,""
psi4,psi4,381,299,37,32,13,14,psi4,""
ponylang,ponyc,381,226,30,92,33,14,ponylang,""
RestComm,Restcomm-Connect,377,88,14,194,81,12,RestComm,""
Moya,Moya,375,247,29,64,35,15,Moya,""
emberjs,ember.js,372,257,31,39,45,15,emberjs,""
neos,neos-development-collection,370,188,49,108,25,17,neos,""
mozilla-services,react-jsonschema-form,369,274,32,36,27,11,mozilla-services,""
I2PC,scipion,369,67,34,226,42,12,I2PC,""
nim-lang,Nim,368,174,48,89,57,23,nim-lang,""
HaxeFoundation,haxe,367,230,13,72,52,12,HaxeFoundation,""
purescript,purescript,367,301,23,23,20,14,purescript,""
Ulbra-Gravatai,sistemaTCC,367,81,47,167,72,12,Ulbra-Gravatai,""
openstreetmap,iD,367,209,18,87,53,11,openstreetmap,""
IBM-Swift,Kitura,367,221,24,73,49,12,IBM-Swift,""
junit-team,junit5,366,196,12,144,14,12,junit-team,""
cBioPortal,cbioportal,363,201,56,53,53,17,cBioPortal,""
rackerlabs,rackspace-how-to,361,158,64,99,40,14,rackerlabs,""
MovingBlocks,Terasology,359,269,23,40,27,14,MovingBlocks,""
pyca,cryptography,359,220,64,59,16,12,pyca,""
freedomofpress,securedrop,359,249,29,63,18,11,freedomofpress,""
bounswe,bounswe2016group11+bounswe2016group12,355,56,45,195,59,22,bounswe,""
realm,realm-object-store,355,119,38,178,20,15,realm,""
TeamPorcupine,ProjectPorcupine,353,252,40,41,20,11,TeamPorcupine,github.com/TeamPorcupine/ProjectPorcupine
stylelint,stylelint,353,236,23,39,55,13,stylelint,""
ciena-frost,ember-frost-core,352,147,53,86,66,11,ciena-frost,""
Nukkit,Nukkit,352,243,49,28,32,12,Nukkit,""
sqlcollaborative,dbatools,349,103,44,180,22,14,sqlcollaborative,""
CS450-ECE461,fall2016-group1-apiserver,348,23,47,246,32,11,CS450-ECE461,""
GoogleCloudPlatform,python-docs-samples,346,139,47,147,13,25,GoogleCloudPlatform,""
klarna,ui,345,79,39,209,18,14,klarna,""
Gilmore-PDX-CS,Group9,343,79,35,176,53,12,Gilmore-PDX-CS,""
