org,repo,activity,comments,prs,commits,issues,authors,project
opentoonz,opentoonz,6057,4596,460,425,576,56,opentoonz
openlayers,ol3,6014,4253,502,704,555,71,openlayers
inasafe,inasafe,6014,3883,798,734,599,24,inasafe
Semantic-Org,Semantic-UI,6014,4327,144,316,1227,37,Semantic-Org
elixir-lang,elixir,5990,3862,1015,702,411,128,elixir-lang
c2corg,v6_ui,5969,3550,409,1479,531,22,c2corg
ipfs,go-ipfs,5967,4002,420,1051,494,40,ipfs
adobe,brackets,5932,4486,235,500,711,80,adobe
UniversalMediaServer,UniversalMediaServer,5919,3856,224,1676,163,21,UniversalMediaServer
translate,pootle,5902,2759,1107,1532,504,34,translate
NodeBB,NodeBB,5901,2701,311,2054,835,68,NodeBB
archesproject,arches,5880,1221,789,3096,774,22,archesproject
Minecolonies,minecolonies,5871,3252,221,1855,543,27,Minecolonies
cgeo,cgeo,5861,3907,314,1055,585,28,cgeo
Flexget,Flexget,5855,2910,301,2125,519,97,Flexget
,mxstbr/react-boilerplate,5803,4471,476,130,726,35,mxstbr/react-boilerplate
DevExpress,testcafe,5782,4186,651,508,437,27,DevExpress
prometheus,prometheus,5779,4099,434,697,549,101,prometheus
aspnetboilerplate,aspnetboilerplate,5776,3633,110,1067,966,41,aspnetboilerplate
triplea-game,triplea,5765,3959,666,740,400,22,triplea-game
metasfresh,metasfresh,5730,699,511,3778,742,32,metasfresh
containous,traefik,5724,4029,420,609,666,95,containous
TauCetiStation,TauCetiClassic,5720,4086,644,516,474,51,TauCetiStation
playframework,playframework,5714,3575,836,867,436,163,playframework
LMMS,lmms,5703,4631,324,322,426,41,LMMS
python,mypy,5689,3888,617,351,833,56,python
IQSS,dataverse,5666,3352,155,1565,594,39,IQSS
openthread,openthread,5662,2793,1280,1284,305,57,openthread
vanilla,vanilla,5651,1291,945,2611,804,50,vanilla
openSUSE,open-build-service,5640,3071,944,1303,322,65,openSUSE
,Zarel/Pokemon-Showdown,5628,2833,806,1831,158,106,Zarel/Pokemon-Showdown
koreader,koreader,5627,4293,339,543,452,40,koreader
bigchaindb,bigchaindb,5620,2438,648,1954,580,45,bigchaindb
tangrams,tangram-es,5616,2204,414,2648,350,24,tangrams
cockpit-project,cockpit,5609,3722,679,899,309,46,cockpit-project
,kangax/fabric.js,5607,3832,311,799,665,28,kangax/fabric.js
pypa,pip,5606,4489,438,190,489,85,pypa
almende,vis,5603,3931,379,406,887,81,almende
AutoMapper,AutoMapper,5601,4421,266,328,586,28,AutoMapper
syncthing,syncthing,5579,3292,181,1519,587,74,syncthing
chartjs,Chart.js,5579,3827,291,109,1352,29,chartjs
SatelliteQE,robottelo,5577,3651,773,761,392,41,SatelliteQE
,racaljk/hosts,5575,4359,301,493,422,78,racaljk/hosts
dealii,dealii,5569,3772,825,750,222,58,dealii
ESMCI,cime,5546,3233,614,1104,595,50,ESMCI
,wasdennnoch/AndroidN-ify,5536,3178,634,979,745,71,wasdennnoch/AndroidN-ify
ReactiveX,rxjs,5536,4205,443,393,495,101,ReactiveX
Theano,Theano,5517,4069,579,245,624,72,Theano
opnsense,core,5504,2299,106,2541,558,38,opnsense
HTBox,allReady,5502,3616,618,578,690,129,HTBox
apache,trafficserver,5493,3157,965,1235,136,126,apache
,alexrj/Slic3r,5491,4377,135,543,436,22,alexrj/Slic3r
projecthydra,sufia,5482,2513,714,1673,582,48,projecthydra
DynamoDS,Dynamo,5474,3209,1002,839,424,75,DynamoDS
junit-team,junit5,5463,3063,181,1836,383,61,junit-team
wix,react-native-navigation,5452,2965,233,1496,758,49,wix
