org,repo,activity,comments,prs,commits,issues,pushes,authors,pushes_1,project,url
score-spec,score-compose+score-k8s+docs+score-go+score.dev+spec+community-provisioners+setup-score+score-implementation-sample+community-patchers+sample-score-app+homebrew-tap+score-aca+examples+schema+score-humanitec+.github+sample-app-gif+score-helm,3430,1113,971,1573,157,1189,20,1189,Score,score.dev
carvel-dev,kapp-controller+kapp+imgpkg+secretgen-controller+carvel+ytt+vendir+kbld+release-scripts+homebrew+setup-action+docker-image+terraform-provider-carvel+ytt.vim,1908,685,494,842,109,620,20,620,Carvel,carvel.dev
networkservicemesh,deployments-k8s+integration-k8s-kind+integration-tests+cmd-forwarder-vpp+sdk+cmd-nse-vlan-vpp+cmd-forwarder-sriov+cmd-forwarder-ovs+sdk-k8s+sdk-vpp+cmd-nse-icmp-responder+cmd-nse-vl3-vpp+cmd-nsc-init+cmd-nsc-vpp+cmd-nse-simple-vl3-docker+cmd-nsc-simple-docker+cmd-nse-icmp-responder-vpp+cmd-nsmgr+cmd-admission-webhook-k8s+cmd-nse-firewall-vpp+cmd-registry-k8s+cmd-registry-memory+cmd-lb-vl3-vpp+sdk-kernel+cmd-nsc+cmd-nse-vfio+cmd-nsmgr-proxy+cmd-cluster-info-k8s+cmd-registry-proxy-dns+cmd-nse-supplier-k8s+cmd-nse-remote-vlan+cmd-nse-l7-proxy+cmd-ipam-vl3+cmd-csi-driver+cmd-map-ip-k8s+cmd-exclude-prefixes-k8s+integration-k8s-gke+api+fanout+sdk-sriov+cmd-dashboard-backend+sdk-ovs+.github+site+integration-k8s-aws+integration-k8s-aks+integration-interdomain-k8s+integration-k8s-packet+cmd-template+cmd-dashboard-ui+cmd-ipam-one-point+nsmctl+gotestmd,11819,1273,1126,9977,164,9256,19,9256,Network Service Mesh,networkservicemesh.io
connectrpc,connect-es+examples-es+connect-query-es+connect-go+connectrpc.com+connect-kotlin+connect-swift+conformance+vanguard-go+connect-playwright-es+connect-dart+otelconnect-go+grpcreflect-go+validate-go+authn-go+grpchealth-go+examples-go+awesome-connect+envoy-demo+cors-go,7389,2953,1597,3054,422,2417,19,2417,Connect,connectrpc.com
cloudevents,sdk-go+spec+sdk-csharp+sdk-python+sdk-java+sdk-rust+sdk-javascript+cloudevents-web+sdk-php+sdk-powershell+conformance,2359,1697,323,334,116,223,19,223,CloudEvents,cloudevents.io
devspace-sh,devspace,460,185,61,113,159,55,19,55,DevSpace,loft.sh
cdfoundation,CICD-Cybersecurity+cdf-landscape+toc+foundation+tekton-helm-chart+artwork+sig-mlops+sig-interoperability+sig-events+dataops-initiative+sig-software-supply-chain+sig-best-practices,654,188,130,370,43,293,19,293,CDF,cd.foundation
bfenetworks,bfe+bwi+api-server+dashboard+bfe-mock-waf+proxy-wasm-go-host,153,47,56,134,20,30,19,30,BFE,bfe-networks.net
projectcontour,contour+contour-authserver+community+.github,2372,1012,591,702,120,649,18,649,Contour,projectcontour.io
project-akri,akri+akri-docs,359,227,62,76,32,38,18,38,Akri,docs.akri.sh
spidernet-io,spiderpool+charts+rocktemplate+egressgateway+spiderdoctor+bmc+deployCilium+e2eframework,7342,3287,1381,1687,1541,1133,17,1133,Spiderpool,spidernet-io.github.io/spiderpool/
submariner-io,submariner+submariner-operator+shipyard+subctl+releases+lighthouse+admiral+cloud-prepare+submariner-website+submariner-charts+enhancements+submariner-bot+submariner-io.github.io+get.submariner.io,12260,5658,2595,4609,246,3761,17,3761,Submariner,submariner.io
serverlessworkflow,specification+sdk-java+synapse+serverlessworkflow.github.io+sdk-go+sdk-net+sdk-typescript+catalog+.github+sdk-rust+sdk-python+vscode-extension+fosdem-2025+specification-docs,3304,1545,735,1223,390,634,17,634,Serverless Workflow,serverlessworkflow.io
devfile,registry+devworkspace-operator+api+devworkspace-generator+devfile-web+alizer+developer-images+registry-support+registry-operator+cloud-dev-images+landing-page+library+registry-viewer+vscode-walkthrough-extension+kubectl-debug-ide+docs+devfile-docker-plugin+integration-tests+kubectl-debug-cde,5442,2515,1240,1458,354,1333,17,1333,Devfile,github.com/devfile
kcl-lang,kpm+kcl+modules+cli+lib+kcl-lang.io+kcl-go+flux-kcl-controller+intellij-kcl+krm-kcl+kcl.nvim+konfig+vscode-kcl+kcl-openapi+intellij-kcl-lsp+tree-sitter-kcl+kcl-operator+helm-kcl+kcl-playground+kcl-plugin+kustomize-kcl+kpt-kcl+kubectl-kcl+homebrew-tap+rules_kcl+examples+helmfile-kcl+scoop-bucket+flask-demo-kcl-manifests+actions,3822,1763,883,1062,446,730,17,730,KCL,kcl-lang.io
spinkube,spin-operator+containerd-shim-spin+documentation+runtime-class-manager+azure+skips+spin-trigger-mqtt+spin-plugin-kube+redis-sample+governance+.github+community,2608,1488,511,800,156,453,17,453,SpinKube,spinkube.dev
chaosblade-io,chaosblade+chaosblade-exec-jvm+chaosblade-box+chaosblade-website+chaosblade-operator+chaosblade-exec-os+community+chaosblade-exec-cri+chaosblade-exec-middleware+chaosblade-spec-go+chaosblade-exec-cloud+chaosblade-box-agent+charts+chaosblade-exec-cplus+chaosblade-box-fe,673,232,218,178,95,128,17,128,ChaosBlade,github.com/chaosblade-io
theupdateframework,tuf-conformance+tuf-on-ci+python-tuf+tuf-js+go-tuf+theupdateframework.io+taps+tuf-on-ci-template+specification+community+rust-tuf,4085,1942,1024,1081,372,747,16,747,TUF,github.com/theupdateframework.com
in-toto,go-witness+archivista+witness+attestation+in-toto+in-toto-golang+in-toto.io+scai-demos+friends+attestation-verifier+community+helm-charts+in-toto-rs+demo+ITE+in-toto-java+specification+ite-4-demo-test-repo+apt-transport-in-toto+in-toto.github.io,4962,2014,1113,2085,159,1676,16,1676,in-toto,in-toto.io
containernetworking,plugins+cni+cni.dev+meeting-notes,749,473,135,132,61,80,16,80,CNI,github.com/containernetworking
kuasar-io,kuasar,365,200,103,144,8,54,16,54,Kuasar,kuasar.io
pixie-io,pixie+docs.px.dev+blog.px.dev+grafana-plugin+px.dev+pixie-demos+pxapi.go+pixie-plugin,1484,850,330,231,87,217,15,217,Pixie,px.dev
hwameistor,hwameistor+hwameistor-operator+drbd-adapter+hwameistor.github.io+hwameistor-ui,1035,334,281,290,252,168,15,168,Hwameistor,hwameistor.io
kuberhealthy,kuberhealthy+crds,225,77,26,153,17,105,15,105,Kuberhealthy,github.com/Comcast/kuberhealthy
sermant-io,Sermant+Sermant-website+Sermant-examples+first-plugin,3456,2570,394,461,253,239,14,239,Sermant,sermant.io
cdk8s-team,cdk8s-plus+cdk8s-cli+cdk8s+cdk8s-core+cdk8s-image+cdk8s-awscdk-resolver+cdk8s-ack-image-resizer+cdk8s-kube-prometheus+cdk8s-cdktf-resolver+cdk8s-aws-cdk+cdk8s-jenkins+cdk8s-validation-plugin-example+cdk8s-operator+cdk8s-postgres+cdk8s-grafana+cdk8s-hasura+cdk8s-redis+cdk8s-examples,11242,410,207,10713,170,10455,14,10455,Cloud Development Kit for Kubernetes,cdk8s.io
getporter,porter+packages+az-mixin+azure-plugins+terraform-mixin+docker-compose-mixin+operator+skeletor+tofu-mixin+magefiles+kubernetes-plugins+aws-mixin+examples+nomad-mixin,1861,680,371,873,134,676,14,676,Porter,porter.sh
emissary-ingress,emissary+emissary-ingress.dev,597,303,118,352,53,123,14,123,Emissary-ingress,getambassador.io
bank-vaults,bank-vaults+vault-operator+vault-secrets-webhook+secrets-webhook+secret-init+vault-secrets-reloader+secret-sync+vault-env+vault-sdk+vault-helm-chart+internal+bank-vaults.dev+.github,7877,2704,2332,2871,182,2659,13,2659,Bank-Vaults,bank-vaults.dev
drasi-project,drasi-platform+docs+drasi-core,2310,1384,420,681,50,456,13,456,Drasi,drasi.io
containers+composefs,composefs+composefs,763,472,169,202,42,80,13,80,composefs,github.com/containers/composefs
kubeslice,docs+worker-operator+kubeslice-controller+networkservicemesh+gateway-certs-generator+examples+kubeslice-monitoring+dns+gateway-sidecar+cmd-forwarder-kernel+netops+cmd-nsmgr+apis+kubeslice+router-sidecar+cmd-nse-vl3+openvpn+cmd-admission-webhook-k8s+slicegw-edge+cmd-registry-k8s+cmd-nsc-init+wait-for-it+cmd-exclude-prefixes-k8s+cmd-nsc+.github+nsm-sdk,1229,274,419,630,13,523,13,523,Kubeslice,kubeslice.io
xline-kv,Xline+interval_map+jepsen-rs+curp-proto+xline-proto,1051,622,244,262,46,139,12,139,Xline,xline.cloud
clusternet,clusternet+website+charts+kubectl-clusternet+apis,258,54,106,101,24,74,12,74,Clusternet,clusternet.io
vscode-kubernetes-tools,vscode-kubernetes-tools,1177,572,267,280,79,259,11,259,VS Code Kubernetes Tools,github.com/vscode-kubernetes-tools/vscode-kubernetes-tools
artifacthub,hub+blog+helm-charts+homebrew-cmd+scoop-cmd,1014,444,160,176,262,148,11,148,Artifact Hub,artifacthub.io
kubereboot,kured+website+charts+.github+.allstar,1047,542,233,367,66,206,11,206,Kured,github.com/weaveworks/kured
tinkerbell,tinkerbell+smee+tink+charts+cluster-api-provider-tinkerbell+hook+rufio+hegel+ipxedust+actions+playground+tinkerbell.org+pbnj+roadmap+org,2556,880,582,1894,128,966,11,966,Tinkerbell,tinkerbell.org
virtual-kubelet,azure-aci+virtual-kubelet+cri+tensile-kube,523,195,134,202,12,182,11,182,Virtual Kubelet,virtual-kubelet.io
notaryproject,notation+notation-go+notation-core-go+specifications+notaryproject.dev+notation-action+tspclient-go+ratify+notation-hashicorp-vault+.github+ratify-go+notary+ratify-web+ratify-verifier-go+notation-plugin-framework-go,7032,5460,726,641,274,572,10,572,Notary,github.com/notaryproject
stateful+runmedev,runme+docs.runme.dev+vscode-runme+runme+docs.runme.dev+runmejs+runmejs+runme-foyle-ai+runme-action+runme-web-extension,2156,599,364,1543,101,1092,10,1092,Runme Notebooks,runme.dev
megaease+easegress-io,easeprobe+easegress+.github+easevoice-trainer+metrics-go+easevoice-trainer-portal+easegress-portal+easeagent+megacloud-mcp+access-log-go+actuator-go+Remembering-Haoel+megacloud-mcp-client+easemesh,961,262,244,598,30,425,10,425,easegress,megaease.com/easegress/
kptdev,kpt+krm-functions-catalog+governance+kpt-backstage-plugins+.github+krm-functions-sdk,564,256,153,50,120,35,10,35,kpt,kpt.dev
open-gitops,documents+project+website+.github,479,319,79,108,29,52,10,52,OpenGitOps,opengitops.dev
schemahero,schemahero+schemahero-docs+schemahero-helm,278,92,61,123,13,112,10,112,SchemaHero,schemahero.io
xregistry,spec+server+xregistry.github.io,2352,1589,158,322,377,228,9,228,xRegistry,xregistry.io
tremor-rs,tremor-runtime+tremor-www+kv+dissect+tremor-otelapis,481,130,67,345,37,247,9,247,Tremor,tremor.rs
eraser-dev,eraser,316,131,64,124,17,104,9,104,Eraser,azure.github.io/eraser
paralus,website+dashboard+paralus+helm-charts+eks-blueprints-addon+relay+prompt+cli,691,124,264,273,32,271,9,271,Paralus,paralus.io
service-mesh-performance+layer5io,service-mesh-performance+istio-service-mesh-workshop+linkerd-service-mesh-workshop+advanced-istio-service-mesh-workshop,113,62,25,32,13,13,9,13,Service Mesh Performance,smp-spec.io
piraeusdatastore,piraeus-operator+linstor-csi+piraeus+piraeus-ha-controller+linstor-affinity-controller+docs+helm-charts+drbd-shutdown-guard+kubectl-linstor+piraeusdatastore.github.io+linstor-scheduler-extender,1248,454,283,534,106,405,8,405,Piraeus-Datastore,piraeus.io
kudobuilder,kuttl+homebrew-tap,517,353,54,98,28,82,8,82,Kudo,kudo.dev
ContainerSSH,ContainerSSH+libcontainerssh+agent+containerssh.github.io+examples+images+go.containerssh.io,252,78,37,173,15,122,8,122,ContainerSSH,containerssh.io
v6d-io,v6d,489,163,89,128,111,126,7,126,Vineyard,v6d.io
project-stacker,stacker+project-stacker.github.io+c3,247,146,57,31,14,30,7,30,Stacker,stackerbuild.io
openelb,openelb+website,110,58,26,34,6,20,7,20,OpenELB,openelb.github.io
aeraki-mesh,aeraki+meta-protocol-proxy+api+website,114,33,28,54,7,46,7,46,Aeraki Mesh,aeraki.net
carina-io,carina,74,29,22,27,10,13,7,13,Carina,opencarina.com
Serverless-Devs,Serverless-Devs+toolkit+serverless-devs-website+registry-website+openapi-mcp-converter,687,150,170,479,45,322,6,322,Serverless Devs,serverless-devs.com
SlimPlanet+AxaFrance,SlimFaas+SlimFaas,669,27,76,605,4,562,6,562,SlimFaaS,github.com/AxaFrance/SlimFaas
+container2wasm,ktock/container2wasm+container2wasm,560,137,185,153,53,185,6,185,container2wasm,github.com/ktock/container2wasm
opcr-io,policy+opcr-website+homebrew-tap+policy-build-action,123,31,40,52,1,51,6,51,OPCR,openpolicyregistry.io
nocalhost,nocalhost+nocalhost-intellij-plugin,69,21,26,27,7,15,6,15,Nocalhost,nocalhost.dev
oam-dev,cluster-gateway+spec+cluster-register,50,17,24,16,3,6,6,6,oam-dev,""
nubificus+urunc-dev,urunc+urunc+urunc-fork-test+artwork+foundation+urunc-tst+urunc-test,1746,591,154,1829,79,922,5,922,urunc,urunc.io
inclavare-containers,TNG+Shelter+rats-rs+rbi+SecureAI+eventlog-rs+Confidential-AI+rats-tls+Secure-AI+kong_coco+confidential-vtpm+measurement_tools+docker-confidential-data-hub+openanolis-attestation+tdx-qgsd-multiplexer+docker-attestation-agent+cncc-sig-white-paper+tng-envoy,655,256,120,484,21,258,5,258,Inclavare Containers,inclavare-containers.io
kubeclipper,kubeclipper+console+kubeclipper.github.io+community,437,191,68,158,30,148,5,148,Kubeclipper,kubeclipper.io
slimtoolkit,slim+slimtoolkit.github.io,287,184,34,36,33,36,5,36,SlimToolkit,slimtoolkit.org
clusterpedia-io,clusterpedia+clusterpedia-helm+client-go+fake-apiserver+api,342,54,170,177,9,109,5,109,Clusterpedia,clusterpedia.io
kubedl-io,morphling+kubedl,21,2,10,11,5,4,5,4,KubeDL,kubedl.io
trickstercache,trickster+helm-charts+trickster-docker-images+mockster,667,330,186,130,49,102,4,102,Trickster,tricksterproxy.io
OpenFunction,openfunction.dev+builder+java-samples+OpenFunction+serverless-devs+samples,116,19,48,62,2,47,4,47,OpenFunction,openfunction.dev
tratteria+tokenetes,website+tconfigd+tratteria+tratteria-agent+example-application+website+tokenetes+.github+.github+tconfigd+tokenetes-agent+example-application,575,135,238,217,8,194,3,194,Tokenetes,tokenetes.io
pravega,zookeeper-operator+pravega+pravega-client-rust+flink-connectors+www.pravega.io,97,39,20,14,25,13,3,13,Pravega,pravega.io
cni-genie,CNI-Genie,12,3,4,5,2,3,3,3,CNI-Genie,cni-genie.io
hexa-org,policy-opa+policy-mapper+policy-orchestrator+policy,215,32,27,136,93,63,2,63,Hexa Policy Orchestrator,hexaorchestration.org
devstream-io,devstream,11,2,3,3,2,4,2,4,DevStream,devstream.io
sealerio,sealer+basefs+sealer.cool,21,12,2,1,6,1,2,1,sealer,sealer.cool
tellerops+SpectralOps,teller+setup-teller-action,77,42,12,0,23,0,1,0,Teller,tlr.dev
skooner-k8s,skooner,21,16,1,0,4,0,1,0,Skooner,skooner.io
curiefense,curiefense,17,0,9,7,1,7,1,7,Curiefense,curiefense.io
merbridge,merbridge+website,17,3,5,8,2,7,1,7,Merbridge,merbridge.io
krustlet,krustlet,5,2,1,0,2,0,1,0,Krustlet,krustlet.dev
superedge,superedge+edgeadm,6,5,0,0,1,0,1,0,SuperEdge,github.com/superedge
opencurve,curveadm+curve+curve-operator,9,2,2,0,5,0,1,0,Curve,opencurve.io
opentracing,opentracing.io+lua-bridge-tracer+opentracing-csharp+documentation,6,1,0,0,5,0,1,0,OpenTracing,opentracing.io
FabEdge,fabedge,1,0,0,0,1,0,1,0,FabEdge,www.fabedge.io
rkt,rkt,1,0,1,0,0,0,1,0,rkt,github.com/rkt/rkt
brigadecore,brigade,1,0,0,0,1,0,1,0,Brigade,brigade.sh
