org,repo,activity,comments,prs,commits,issues,authors,project,url
Automattic,jetpack,623,297,77,202,47,27,Automattic Jetpack,jetpack.com
ctfs,write-ups-2016,340,111,44,145,40,26,ctfs,""
Fermat-ORG,fermat,381,84,42,80,175,26,Fermat-ORG,""
cljsjs,packages,149,65,37,34,13,26,cljsjs,""
phpmyadmin,phpmyadmin,763,484,56,149,74,26,phpmyadmin,""
concrete5,concrete5,693,436,75,122,60,26,concrete5,""
broadinstitute,cromwell+picard,961,432,75,406,48,25,Broad Institute,broadinstitute.org
codecombat,codecombat,454,158,47,227,22,25,codecombat,""
driftyco,ionic-site,982,110,19,792,61,25,Ionic,ionicframework.com
silshack,spring2016,1112,212,385,492,23,24,silshack,""
kaldi-asr,kaldi,436,285,53,84,14,24,kaldi-asr,""
frappe,erpnext,660,301,104,161,94,24,frappe,""
nipy,dipy+nipype,654,444,92,55,63,24,nipy,""
ethereum,homestead-guide,181,50,44,70,17,24,Ethereum,ethereum.org
OAMKPelienOhjelmointi2016,DescentRemake,199,32,80,72,15,23,OAMKPelienOhjelmointi2016,""
Microsoft,TypeScript,2493,1737,129,264,363,23,TypeScript,typescriptlang.org
spring-cloud,spring-cloud-stream+spring-cloud-dataflow,559,332,60,74,93,23,spring-cloud,""
bolt,bolt,974,632,98,178,66,23,bolt,""
bitDubai,fermat,403,104,36,86,177,23,bitDubai,""
cleanflight,cleanflight,887,654,63,71,99,23,cleanflight,""
akeneo,pim-community-dev,1066,254,112,682,18,23,akeneo,""
emberjs,data,382,276,32,42,32,23,Ember.js,emberjs.com
oneops,circuit-oneops-1,244,35,58,140,11,22,oneops,""
SeleniumHQ,selenium,843,589,44,90,120,22,SeleniumHQ,""
iTXTech,Genisys,1531,1031,77,225,198,22,iTXTech,""
coreos,rkt,837,601,88,69,79,22,CoreOS,coreos.com
Dolibarr,dolibarr,708,215,112,335,46,22,Dolibarr,""
Hashnode,mern-starter,336,179,36,75,46,22,Hashnode,""
mapsme,omim,1405,755,309,318,23,22,MAPS.ME,maps.me
department-of-veterans-affairs,vets-website+roadrunner,1142,495,125,433,89,22,Caseflow,va.gov
PolarisSS13,Polaris,871,540,134,105,92,22,PolarisSS13,""
geoadmin,mf-geoadmin3+mf-chsdi3,1139,598,118,378,45,22,geoadmin,""
