org,repo,activity,comments,prs,commits,issues,authors,project,url
,nolimits4web/Framework7,1296,999,37,87,173,21,nolimits4web/Framework7,""
watson-developer-cloud,java-sdk,474,175,63,171,65,21,watson-developer-cloud,""
bokeh,bokeh,1640,1019,120,280,221,21,bokeh,""
iron-io,functions,768,293,84,325,66,21,Iron.io,iron.io
intelsdi-x,snap,548,358,68,58,64,21,intelsdi-x,""
,netblue30/firejail,1057,633,49,244,131,21,netblue30/firejail,""
rtfd,readthedocs.org,1173,809,58,178,128,21,rtfd,""
yogstation13,yogstation,3017,2262,250,224,281,21,Yogstation13,yogstation.net
electrode-io,electrode,630,340,104,130,56,21,electrode-io,""
vapor,vapor,722,357,96,193,76,21,vapor,""
dealii,dealii,1694,1123,281,225,65,21,dealii,""
,krzysztofzablocki/Sourcery,621,355,61,154,51,21,krzysztofzablocki/Sourcery,""
bloomberg,bucklescript,1718,868,237,418,195,21,bloomberg,""
Sylius,Sylius,1735,996,505,58,176,21,Sylius,""
,volumio/Volumio2,805,464,74,185,82,21,volumio/Volumio2,""
,lhc70000/iina,2331,1432,127,364,408,21,lhc70000/iina,""
,ultrabug/py3status,1784,1082,202,440,60,21,ultrabug/py3status,""
quicwg,base-drafts,2590,1163,147,1101,179,21,quicwg,""
istio,manager,1820,1005,314,394,107,21,istio,""
OperationCode,operationcode,470,286,73,60,51,21,OperationCode,""
obspy,obspy,1311,836,86,330,59,21,obspy,""
audiokit,AudioKit,852,518,61,167,106,21,audiokit,""
,QingWei-Li/docsify,419,138,44,184,53,21,QingWei-Li/docsify,""
girder,girder,1123,489,130,455,49,21,girder,""
uclouvain,osis,1441,426,204,651,160,21,uclouvain,""
WhisperSystems,Signal-Android,2932,2284,97,162,389,21,WhisperSystems,""
dropwizard,dropwizard,789,361,72,300,56,21,dropwizard,""
Polymer,polymer,1455,714,95,493,153,21,Polymer,polymer-project.org
