org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
bank-vaults,bank-vaults+vault-secrets-webhook+secrets-webhook+vault-operator+vault-helm-chart+secret-init+vault-env+vault-sdk+secret-sync+vault-secrets-reloader+bank-vaults.dev,4896,1743,1329,2385,71,1753,31,Bank-Vaults,bank-vaults.dev
bfenetworks,bfe+bfe-mock-waf+bwi+service-controller,78,19,30,117,5,24,30,BFE,bfe-networks.net
chaosblade-io,chaosblade-exec-os+chaosblade-website+chaosblade-box+chaosblade+chaosblade-exec-cplus+chaosblade-box-fe+chaosblade-exec-cri+chaosblade-operator+chaosblade-space-exploration+chaosblade-spec-go+chaosblade-exec-jvm+chaosblade-box-agent+chaosblade-exec-cloud+chaosblade-exec-middleware+chaosblade-help-doc+charts,816,255,182,450,168,211,30,ChaosBlade,github.com/chaosblade-io
nubificus+urunc-dev,urunc+urunc+unikernel-build+urunc-external-merge+foundation+urunc-release-test+monitors-build+urunc-fork-test+urunc-test-fork+artwork+urunc-test+urunc-tst,1977,516,170,1571,110,1181,29,urunc,urunc.io
containernetworking,plugins+cni+cni.dev+meeting-notes,405,248,77,98,29,51,29,CNI,github.com/containernetworking
spinkube,spin-operator+runtime-class-manager+containerd-shim-spin+documentation+spin-trigger-mqtt+governance+.github,290,123,78,1151,6,83,28,SpinKube,spinkube.dev
ratify-project,ratify+ratify-web+ratify-go+ratify-containerd+ratify-verifier-go+ratify-cli+.github,2438,1423,422,709,70,523,27,Ratify,ratify.dev
networkservicemesh,cmd-forwarder-vpp+deployments-k8s+sdk+cmd-nse-vl3-vpp+cmd-forwarder-sriov+integration-k8s-kind+sdk-k8s+sdk-vpp+cmd-forwarder-ovs+cmd-nse-vlan-vpp+cmd-nsmgr+integration-tests+sdk-kernel+sdk-ovs+sdk-sriov+cmd-dashboard-backend+cmd-lb-vl3-vpp+cmd-nsc+cmd-nsc-init+cmd-nsc-vpp+cmd-nse-icmp-responder+cmd-nse-icmp-responder-vpp+cmd-nse-l7-proxy+cmd-nse-remote-vlan+cmd-nse-supplier-k8s+cmd-nse-vfio+cmd-nsmgr-proxy+cmd-registry-k8s+cmd-registry-memory+cmd-registry-proxy-dns+cmd-admission-webhook-k8s+cmd-cluster-info-k8s+cmd-csi-driver+cmd-exclude-prefixes-k8s+cmd-ipam-vl3+cmd-map-ip-k8s+cmd-nsc-simple-docker+cmd-nse-firewall-vpp+cmd-nse-simple-vl3-docker+integration-k8s-gke+site+.github+api+fanout+cmd-dashboard-ui+cmd-ipam-one-point+cmd-template,5274,487,590,5299,31,4166,27,Network Service Mesh,networkservicemesh.io
runmedev+stateful,runme+runme+vscode-runme+web+docs.runme.dev+docs.runme.dev+runmejs+runmejs+runme-foyle-ai+website,1350,283,269,1441,63,735,26,Runme Notebooks,runme.dev
emissary-ingress,emissary+emissary-ingress.dev,400,185,121,255,34,60,26,Emissary-ingress,getambassador.io
spidernet-io,spiderpool+egressgateway+charts+deployCilium+e2eframework+bmc+rocktemplate+spiderdoctor+cilium-chaining+mock-ai-topology,3244,1018,746,763,1019,461,26,Spiderpool,spidernet-io.github.io/spiderpool/
schemahero,schemahero+schemahero-helm+schemahero-docs,462,125,96,222,12,229,25,SchemaHero,schemahero.io
drasi-project,drasi-platform+drasi-core+docs+drasi-server,2587,1543,453,722,67,524,25,Drasi,drasi.io
megaease+easegress-io,easeprobe+easegress+easevoice-trainer+easeagent+easeagent-spring-boot-demo-3.5.3+easevoice-trainer-portal+megacloud-chat+megacloud-mcp-client+megacloud-mcp+easegress-portal+.github+easeagent-spring-petclinic,882,183,209,1750,13,477,25,easegress,megaease.com/easegress/
Serverless-Devs,agentrun-sdk-python+agentrun-docs+Serverless-Devs+registry-website+toolkit+openapi-mcp-converter+serverless-devs-website,449,149,81,300,21,198,25,Serverless Devs,serverless-devs.com
kubean-io,kubean+kube-node-tuning+kubean-helm-chart+kubean-api+kubean-manifest,774,139,204,705,28,403,23,Kubean,kubean-io.github.io/kubean/
k8up-io,k8up+website,327,98,29,220,23,177,22,K8up,k8up.io
AxaFrance+SlimPlanet,SlimFaas+SlimFaas,905,69,104,2324,24,708,21,SlimFaaS,github.com/AxaFrance/SlimFaas
project-akri,akri+akri-docs+akri-discovery-handler-template,171,83,49,55,17,22,21,Akri,docs.akri.sh
hwameistor,hwameistor+hwameistor-operator+drbd-adapter+hwameistor-ui+hwameistor.github.io,550,165,152,241,140,93,21,Hwameistor,hwameistor.io
oxia-db+streamnative,oxia+oxia+oxia-client-java+oxia-java+helm-charts+benchmark+okk+oxia-db.github.io+oxia-doc+oxia-docs+.github+liboxia+testcontainers+nightly-testing+oxia-client-python,1373,388,294,1116,64,627,21,Oxia,oxia-db.github.io
kuasar-io,kuasar,196,106,60,99,2,28,20,Kuasar,kuasar.io
artifacthub,hub+blog+helm-charts+homebrew-cmd+scoop-cmd,638,260,87,99,183,108,20,Artifact Hub,artifacthub.io
kptdev,kpt+krm-functions-catalog+krm-functions-sdk+governance+kpt-samples+.github+kpt-backstage-plugins,997,428,222,230,263,84,20,kpt,kpt.dev
pixie-io,pixie+docs.px.dev+px.dev+blog.px.dev+pxapi.go+grafana-plugin,867,470,200,183,41,156,20,Pixie,px.dev
keptn,lifecycle-toolkit+lifecycle-toolkit-charts+community,789,73,26,1134,8,682,20,Keptn,kepth.sh
loxilb-io,loxilb+kube-loxilb+loxilbdocs+loxicmd+loxilb-ebpf+loxilb-ingress+killercoda-examples+libbpf,620,159,191,598,46,224,19,LoxiLB,loxilb.io
piraeusdatastore,piraeus+piraeus-operator+linstor-csi+helm-charts+kubectl-linstor+linstor-affinity-controller+piraeus-ha-controller+drbd-shutdown-guard+docs,1108,370,229,637,82,427,19,Piraeus-Datastore,piraeus.io
getporter,porter+terraform-mixin+kubernetes-plugins+aws-mixin+az-mixin+azure-plugins+magefiles+aws-plugins+nomad-mixin+packages+examples+operator+tofu-mixin,1541,474,264,1225,84,719,18,Porter,porter.sh
service-mesh-performance+layer5io,service-mesh-performance+advanced-istio-service-mesh-workshop+istio-service-mesh-workshop+service-mesh-labs+linkerd-service-mesh-workshop,62,16,27,47,5,14,18,Service Mesh Performance,smp-spec.io
virtual-kubelet,virtual-kubelet+azure-aci+tensile-kube,259,109,55,107,9,86,17,Virtual Kubelet,virtual-kubelet.io
project-stacker,stacker+c3+project-stacker.github.io,332,159,52,177,8,113,16,Stacker,stackerbuild.io
xregistry,spec+codegen+server+viewer+xrproxy+xregistry.github.io,2383,1449,149,1460,287,498,16,xRegistry,xregistry.io
vscode-kubernetes-tools,vscode-kubernetes-tools,1004,508,198,276,71,227,15,VS Code Kubernetes Tools,github.com/vscode-kubernetes-tools/vscode-kubernetes-tools
kubereboot,charts+kured+website+.github,675,286,174,335,51,164,15,Kured,github.com/weaveworks/kured
paralus,helm-charts+paralus+relay+dashboard+eks-blueprints-addon+website,549,50,236,336,20,243,15,Paralus,paralus.io
inclavare-containers,TNG+eventlog-rs+Confidential-AI+measurement_tools+rats-tls+rats-rs+tdx-qgsd-multiplexer+tng-envoy,663,311,94,647,8,250,15,Inclavare Containers,inclavare-containers.io
ko-build,ko+terraform-provider-ko+setup-ko,452,165,98,234,31,158,14,ko,ko.build
kudobuilder,kuttl+homebrew-tap,210,127,16,84,5,62,14,Kudo,kudo.dev
ContainerSSH,ContainerSSH+containerssh.github.io+go.containerssh.io+libcontainerssh+agent+examples+images,189,59,32,115,16,82,14,ContainerSSH,containerssh.io
open-gitops,website+project+.github+documents,150,65,37,58,17,31,13,OpenGitOps,opengitops.dev
devspace-sh,devspace,356,133,67,92,99,57,12,DevSpace,loft.sh
kubeclipper,kubeclipper+kubeclipper.github.io,173,43,56,66,29,45,12,Kubeclipper,kubeclipper.io
sermant-io,Sermant+Sermant-website+Sermant-examples+first-plugin,912,615,136,192,81,80,12,Sermant,sermant.io
composefs+containers,composefs+composefs,139,91,28,317,6,14,11,composefs,github.com/containers/composefs
aeraki-mesh,aeraki+meta-protocol-proxy+website+api,112,32,27,55,7,46,11,Aeraki Mesh,aeraki.net
eraser-dev,eraser,140,62,15,70,11,52,10,Eraser,azure.github.io/eraser
clusternet,clusternet+website+apis,123,30,47,77,11,35,10,Clusternet,clusternet.io
kuberhealthy,kuberhealthy+bash+crds+go+python+rust+minio-test+ssh-check,630,44,224,586,5,357,10,Kuberhealthy,github.com/Comcast/kuberhealthy
tremor-rs,dissect+tremor-runtime+kv+tremor-www+qwal,153,51,37,100,11,54,10,Tremor,tremor.rs
"",container2wasm+ktock/container2wasm,408,114,138,492,30,126,9,container2wasm,github.com/ktock/container2wasm
slimtoolkit,slim+slimtoolkit.github.io,157,84,23,48,17,33,8,SlimToolkit,slimtoolkit.org
trickstercache,trickster+helm-charts+trickster-docker-images+mockster,767,368,210,208,62,127,8,Trickster,tricksterproxy.io
nocalhost,nocalhost-intellij-plugin+nocalhost,76,22,32,69,6,16,8,Nocalhost,nocalhost.dev
tokenetes+tratteria,tokenetes+website+tratteria+website+.github+.github+example-application+tconfigd+tokenetes-agent+tratteria-agent,173,46,65,182,2,60,8,Tokenetes,tokenetes.io
clusterpedia-io,clusterpedia+clusterpedia-helm+client-go,248,49,118,163,6,75,7,Clusterpedia,clusterpedia.io
opcr-io,policy+opcr-website+opcr-io-github.io+policy-build-action+homebrew-tap,98,27,27,45,4,40,7,OPCR,openpolicyregistry.io
v6d-io,v6d,89,46,10,16,15,18,6,Vineyard,v6d.io
OpenFunction,openfunction.dev+builder+java-samples+samples+serverless-devs,157,11,67,125,0,79,6,OpenFunction,openfunction.dev
devstream-io,devstream,11,2,3,17,2,4,5,DevStream,devstream.io
openelb,openelb,34,20,5,11,3,6,5,OpenELB,openelb.github.io
merbridge,merbridge+website,14,1,5,9,1,7,5,Merbridge,merbridge.io
cni-genie,CNI-Genie,12,3,4,5,2,3,4,CNI-Genie,cni-genie.io
hexa-org,policy-opa+policy-orchestrator+policy-mapper,53,9,17,37,12,15,4,Hexa Policy Orchestrator,hexaorchestration.org
carina-io,carina,17,5,4,8,3,5,3,Carina,opencarina.com
xline-kv,Xline,15,8,2,3,5,0,3,Xline,xline.cloud
pravega,pravega,27,14,6,2,6,1,2,Pravega,pravega.io
sealerio,basefs+sealer,10,6,1,2,2,1,2,sealer,sealer.cool
