org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
telepresenceio,telepresence+telepresence.io+docker-volume-telemount+homebrew-telepresence+clog+dlib+go-ftpserver+go-fuseftp,952,292,152,985,54,454,28,Telepresence,telepresence.io
kubeslice,kubeslice-controller+worker-operator+kubeslice+gateway-certs-generator+gateway-sidecar+wireguard+apis+cmd-nsc+cmd-admission-webhook-k8s+dns+cmd-forwarder-kernel+cmd-nsmgr+cmd-registry-k8s+kubeslice-cli+cmd-nsc-init+docs,373,148,122,219,31,72,28,Kubeslice,kubeslice.io
Serverless-Devs,agentrun-sdk-python+agentrun-cli+agentrun-docs+Serverless-Devs+agentrun-sdk-nodejs+toolkit,379,41,60,538,10,268,24,Serverless Devs,serverless-devs.com
keylime,keylime+rust-keylime+enhancements+keylime-mcp,919,398,146,437,29,346,24,Keylime,keylime.dev
piraeusdatastore,helm-charts+piraeus-operator+linstor-csi+piraeus+drbd-shutdown-guard+linstor-affinity-controller+linstor-scheduler-extender+piraeus-ha-controller+nri-volume-qos+docs,736,237,103,360,48,348,23,Piraeus-Datastore,piraeus.io
composefs,composefs-rs+tar-rs+composefs+composefs-run+tar-core,143,62,14,515,2,65,23,composefs,github.com/containers/composefs
interlink-hq+interTwin-eu,interLink+interlink-slurm-plugin+interlink-helm-chart+interlink-htcondor-plugin+vk-test-set+docs+interlink-plugin-sdk+cluster-api-provider+interlink-apptainer-plugin+interlink-arc-plugin+interlink-docker-plugin+interlink-kubernetes-plugin,505,131,65,446,43,266,23,Interlink,interwin.eu
containernetworking,plugins+cni+cni.dev+meeting-notes,141,87,25,42,10,19,23,CNI,github.com/containernetworking
k8up-io,k8up+.project+website,354,60,35,216,20,239,22,K8up,k8up.io
emissary-ingress,emissary+emissary-ingress.dev,259,122,85,195,19,33,21,Emissary-ingress,getambassador.io
easegress-io+megaease,easegress+easeagent+easeprobe+easeagent-spring-boot-demo-3.5.3+megacloud-chat+megacloud-mcp-client+easemesh-api+.github+easeagent-spring-petclinic,391,60,62,676,7,262,20,easegress,megaease.com/easegress/
project-akri,akri+akri-docs+examples+akri-discovery-handler-template,85,19,24,85,11,31,20,Akri,docs.akri.sh
KusionStack,kube-api+kube-xset+kube-utils+rollout+charts+kusion+.github+community+karpor+karpor-landing-page+kuperator+kusionstack.io+resourceconsist,498,79,120,462,14,285,19,KusionStack,kusionstack.io
openGemini,openGemini+openGemini-cli+opengemini-client-go+observability+opengemini-client-python+opengemini-client-python-application+openGemini.github.io+opengemini-client-cpp+opengemini-client-java+opengemini-client-rust+openGemini-Flink-Connector+openGemini-studio+pr-title-checker+website,306,111,75,126,67,53,18,openGemini,opengemini.org
ko-build,ko+terraform-provider-ko+setup-ko,242,53,30,96,14,145,18,ko,ko.build
schemahero,schemahero+schemahero-helm+homebrew-tap+schemahero-docs,325,65,63,134,2,195,18,SchemaHero,schemahero.io
spidernet-io,spiderpool+egressgateway+deployCilium+charts+vlan-cni+cilium-chaining+e2eframework+mock-ai-topology,1120,297,265,275,306,252,18,Spiderpool,spidernet-io.github.io/spiderpool/
kubean-io,kubean+kubean-helm-chart+kube-node-tuning+kubean-api+kubean-manifest,387,53,80,474,8,246,17,Kubean,kubean-io.github.io/kubean/
virtual-kubelet,virtual-kubelet+azure-aci,126,49,18,29,3,56,17,Virtual Kubelet,virtual-kubelet.io
cdk8s-team,cdk8s-cli+cdk8s,874,41,17,338,33,783,17,cdk8s,cdk8s.io
hwameistor,hwameistor+hwameistor-operator+hwameistor.github.io,187,23,72,177,50,42,16,Hwameistor,hwameistor.io
ContainerSSH,ContainerSSH+containerssh.github.io+agent+images,95,28,12,42,8,47,15,ContainerSSH,containerssh.io
kuasar-io,kuasar,102,62,28,83,0,12,15,Kuasar,kuasar.io
kube-bind,kube-bind+kube-bind.github.io,871,569,95,348,59,148,15,kbind,kube-bind.io
oxia-db,oxia+oxia-db.github.io+helm-charts+benchmark+okk+regret-adapters+liboxia+oxia-client-java+.github+nightly-testing+testcontainers+oxia-client-node+oxia-client-python,1492,325,237,1214,58,872,15,Oxia,oxia-db.github.io
runmedev,web+runme+vscode-runme+docs.runme.dev+runmejs+website,1076,150,184,735,45,697,14,Runme Notebooks,runme.dev
bpfman,bpfman+bpfman-operator,296,130,42,248,14,110,14,bpfman,bpfman.io
inclavare-containers,TNG+measurement_tools+confidential-agent+rats-tls+Shelter+Confidential-AI+rats-rs+tdx-qgsd-multiplexer,381,146,33,649,2,200,13,Inclavare Containers,inclavare-containers.io
networkservicemesh,deployments-k8s+cmd-forwarder-vpp+cmd-nsmgr+sdk+cmd-forwarder-ovs+cmd-forwarder-sriov+integration-k8s-kind+integration-tests+sdk-k8s+sdk-vpp+cmd-admission-webhook-k8s+cmd-cluster-info-k8s+cmd-csi-driver+cmd-dashboard-backend+cmd-exclude-prefixes-k8s+cmd-ipam-vl3+cmd-map-ip-k8s+cmd-nse-supplier-k8s+cmd-nse-vlan-vpp+cmd-nsmgr-proxy+cmd-registry-k8s+cmd-registry-proxy-dns+cmd-lb-vl3-vpp+cmd-nsc+cmd-nsc-init+cmd-nsc-simple-docker+cmd-nsc-vpp+cmd-nse-firewall-vpp+cmd-nse-icmp-responder+cmd-nse-icmp-responder-vpp+cmd-nse-l7-proxy+cmd-nse-simple-vl3-docker+cmd-nse-vl3-vpp+cmd-registry-memory+sdk-kernel+sdk-ovs+sdk-sriov+site+api,577,41,27,470,6,503,13,Network Service Mesh,networkservicemesh.io
kudobuilder,kuttl+homebrew-tap,157,71,15,84,4,67,13,Kudo,kudo.dev
tokenetes,.project+website+example-application+tokenetes+tconfigd,38,13,6,24,4,15,12,Tokenetes,tokenetes.io
project-stacker,stacker+c3+project-stacker.github.io,228,70,29,209,2,127,12,Stacker,stackerbuild.io
getporter,porter+azure-plugins+examples+vanity+aws-plugins,508,195,95,531,47,171,11,Porter,porter.sh
kubeclipper,kubeclipper+console+kubeclipper.github.io+kubectl,121,13,38,89,18,52,11,Kubeclipper,kubeclipper.io
SlimPlanet,SlimFaas,635,44,52,978,34,505,11,SlimFaaS,github.com/AxaFrance/SlimFaas
kubereboot,charts+kured+website,340,122,69,217,39,110,10,Kured,github.com/weaveworks/kured
loxilb-io,loxilb+kube-loxilb+loxilb-ebpf+killercoda-examples+loxicmd+loxilb-ingress+loxilbdocs,156,37,41,195,21,57,10,LoxiLB,loxilb.io
xregistry,spec+codegen+server+viewer+xregistry.github.io+xrproxy,896,330,39,1010,47,480,9,xRegistry,xregistry.io
bfenetworks,bfe+service-controller+conf-agent+api-server,43,4,18,74,2,19,9,BFE,bfe-networks.net
devspace-sh,devspace,307,47,71,169,34,155,9,DevSpace,loft.sh
clusternet,clusternet+charts,37,10,12,47,2,13,9,Clusternet,clusternet.io
open-gitops,website+.github,14,3,6,10,0,5,8,OpenGitOps,opengitops.dev
artifacthub,hub+homebrew-cmd+scoop-cmd,309,110,28,48,124,47,8,Artifact Hub,artifacthub.io
vscode-kubernetes-tools,vscode-kubernetes-tools,435,185,65,65,31,154,8,VS Code Kubernetes Tools,github.com/vscode-kubernetes-tools/vscode-kubernetes-tools
trickstercache,trickster,247,83,62,125,32,70,7,Trickster,tricksterproxy.io
pixie-io,pixie+px.dev+docs.px.dev,206,96,44,199,13,53,7,Pixie,px.dev
opcr-io,policy+homebrew-tap+opcr-io-github.io+opcr-io.github.com+opcr-website,92,17,10,59,3,62,6,OPCR,openpolicyregistry.io
tremor-rs,dissect+kv+tremor-www+qwal+tremor-runtime,38,10,5,17,2,21,6,Tremor,tremor.rs
clusterpedia-io,clusterpedia+clusterpedia-helm,35,6,10,28,0,19,6,Clusterpedia,clusterpedia.io
sermant-io,Sermant+Sermant-website+first-plugin,51,22,13,15,10,6,6,Sermant,sermant.io
paralus,dashboard+helm-charts+eks-blueprints-addon+paralus+relay+website,279,20,108,55,4,147,5,Paralus,paralus.io
nocalhost,nocalhost-intellij-plugin+nocalhost,38,16,11,44,4,7,5,Nocalhost,nocalhost.dev
kuberhealthy,kuberhealthy+ami-check+bash+cronjob-checker+daemonset-check+deployment-check+dns-resolution-check+go+http-check+http-content-check+image-download-check+kiam-check+namespace-pod-check+network-connection-check+pod-restarts-check+pod-status-check+python+resource-quota-check+rust+ssh-check+ssl-expiry-check+ssl-handshake-check+test-check+minio-test,659,16,220,706,1,422,5,Kuberhealthy,github.com/Comcast/kuberhealthy
"",container2wasm+ktock/container2wasm,142,54,27,229,8,53,5,container2wasm,github.com/ktock/container2wasm
eraser-dev,eraser,84,40,2,17,7,35,4,Eraser,azure.github.io/eraser
keptn,lifecycle-toolkit+lifecycle-toolkit-charts,452,4,1,291,0,447,4,Keptn,kepth.sh
tellerops,teller,15,9,2,12,1,3,3,Teller,tlr.dev
slimtoolkit,slim,54,25,5,6,10,14,2,SlimToolkit,slimtoolkit.org
v6d-io,v6d,41,21,6,2,7,7,2,Vineyard,v6d.io
OpenFunction,builder+java-samples+openfunction.dev+serverless-devs,171,4,60,29,0,107,2,OpenFunction,openfunction.dev
