org,repo,activity,comments,prs,commits,issues,authors
ProgrammingLife2016,ProgrammingLife2016/PL4-2016,1730,259,187,1199,85,22
angular-ui,angular-ui/bootstrap,1730,1281,116,104,229,39
habitat-sh,habitat-sh/habitat,1724,1006,144,503,71,33
OmniSharp,OmniSharp/omnisharp-vscode,1724,1232,125,110,257,25
aspnet,aspnet/KestrelHttpServer,1724,1050,118,448,108,32
camptocamp,camptocamp/c2cgeoportal,1717,563,181,890,83,28
ClearSkyTeam,ClearSkyTeam/ClearSky,1716,986,76,512,142,20
DoSomething,DoSomething/phoenix,1704,988,157,376,183,23
prometheus,prometheus/prometheus,1704,1244,125,190,145,42
loklak,loklak/loklak_server,1702,844,212,470,176,24
ReactiveCocoa,ReactiveCocoa/ReactiveCocoa,1690,1204,157,219,110,47
BuoyantIO,BuoyantIO/linkerd,1690,751,197,644,98,20
artsy,artsy/eigen,1687,1000,103,371,213,11
Elgg,Elgg/Elgg,1678,1205,189,135,149,14
DBCDK,DBCDK/serviceprovider,1677,232,265,980,200,14
DataDog,DataDog/dd-agent,1673,707,207,704,55,69
measurement-kit,measurement-kit/measurement-kit,1669,278,219,1114,58,12
mozilla,mozilla/pdf.js,1669,1229,121,98,221,16
triplea-game,triplea-game/triplea,1665,1022,236,297,110,11
driftyco,driftyco/ionic-site,1663,262,54,1265,82,50
loomio,loomio/loomio,1657,711,168,658,120,18
openwrt,openwrt/packages,1655,1002,284,292,77,115
w3c,w3c/html,1651,1032,149,255,215,25
TryGhost,TryGhost/Ghost,1643,890,212,404,137,32
frappe,frappe/erpnext,1639,750,209,369,311,39
Ultimaker,Ultimaker/Cura,1637,781,57,698,101,25
GoogleCloudPlatform,GoogleCloudPlatform/gcloud-python,1634,1172,128,218,116,14
Codeception,Codeception/Codeception,1631,1037,161,229,204,53
pantsbuild,pantsbuild/pants,1624,782,326,331,185,38
playframework,playframework/playframework,1623,1018,222,255,128,76
cubing,cubing/worldcubeassociation.org,1616,1024,189,286,117,25
ipfs,ipfs/go-ipfs,1615,1113,126,235,141,21
pixijs,pixijs/pixi.js,1606,1137,132,202,135,28
apinf,apinf/api-umbrella-dashboard,1604,805,71,430,298,20
cBioPortal,cBioPortal/cbioportal,1599,907,257,229,206,47
DestinyItemManager,DestinyItemManager/DIM,1594,1077,86,306,125,18
4teamwork,4teamwork/opengever.core,1590,460,170,798,162,16
dotCMS,dotCMS/core,1589,602,187,456,344,40
beetbox,beetbox/beets,1581,1065,82,329,105,29
ProgrammingLife2016,ProgrammingLife2016/PL2-2016,1579,560,164,728,127,20
otavanopisto,otavanopisto/muikku,1577,74,243,980,280,18
wallabag,wallabag/wallabag,1568,954,142,250,222,29
google,google/protobuf,1568,1039,199,148,182,51
solidusio,solidusio/solidus,1567,1092,209,197,69,44
w3c,w3c/web-platform-tests,1555,642,441,418,54,141
eclipse,eclipse/jetty.project,1550,690,60,627,173,27
opencart,opencart/opencart,1547,727,205,401,214,58
UV-CDAT,UV-CDAT/uvcdat,1545,1042,57,352,94,15
reactjs,reactjs/react-router,1539,1115,84,114,226,28
concrete5,concrete5/concrete5,1535,834,205,354,142,52
NebulousLabs,NebulousLabs/Sia,1534,604,188,644,98,11
HuaweiBigData,HuaweiBigData/carbondata,1533,903,287,227,116,39
liqd,liqd/adhocracy3,1528,713,222,535,58,18
rathena,rathena/rathena,1526,927,55,297,247,30
c2corg,c2corg/v6_ui,1525,858,85,436,146,11
AnalyticalGraphicsInc,AnalyticalGraphicsInc/cesium,1522,747,158,509,108,35
qutheory,qutheory/vapor,1517,534,134,718,131,32
ArmaLife,ArmaLife/Framework,1516,906,176,314,120,22
reactjs,reactjs/redux,1514,1229,121,23,141,16
urho3d,urho3d/Urho3D,1512,864,63,495,90,38
angular-fullstack,angular-fullstack/generator-angular-fullstack,1511,904,72,338,197,20
SpongePowered,SpongePowered/SpongeCommon,1500,463,70,816,151,39
typelevel,typelevel/cats,1491,1113,158,156,64,53
influxdata,influxdata/kapacitor,1491,864,137,320,170,25
AutoMapper,AutoMapper/AutoMapper,1486,1121,101,145,119,12
preview-code,preview-code/rite-evaluation,1483,450,195,681,157,13
hechoendrupal,hechoendrupal/DrupalConsole,1479,843,264,224,148,56
NodeBB,NodeBB/NodeBB,1478,690,87,442,259,41
nasa,nasa/openmct,1477,790,126,403,158,17
ember-cli,ember-cli/ember-cli,1476,1072,139,162,103,37
cuberite,cuberite/cuberite,1474,1103,69,224,78,22
mpv-player,mpv-player/mpv,1474,1148,86,34,206,14
github,github/git-lfs,1472,1008,99,239,126,23
kubernetes,kubernetes/kubernetes.github.io,1472,791,269,233,179,111
MycroftAI,MycroftAI/mycroft-core,1471,853,134,348,136,26
ReactiveX,ReactiveX/rxjs,1465,1128,99,111,127,31
deeplearning4j,deeplearning4j/nd4j,1463,518,189,624,132,22
acquaman,acquaman/acquaman,1462,610,122,617,113,20
studentinsights,studentinsights/studentinsights,1457,726,225,362,144,31
OrchardCMS,OrchardCMS/Orchard,1451,960,118,153,220,34
Windows-XAML,Windows-XAML/Template10,1451,985,106,159,201,29
GoogleCloudPlatform,GoogleCloudPlatform/gcloud-node,1443,1101,83,117,142,19
NativeScript,NativeScript/nativescript-cli,1441,858,139,332,112,28
BugBusterSWE,BugBusterSWE/documentation,1439,331,219,677,212,17
operable,operable/cog,1435,424,187,656,168,16
GoogleCloudPlatform,GoogleCloudPlatform/gcloud-eclipse-tools,1434,613,133,525,163,16
NREL,NREL/EnergyPlus,1434,820,86,443,85,40
vmware,vmware/harbor,1432,740,203,295,194,32
inasafe,inasafe/inasafe,1431,989,147,130,165,16
nunit,nunit/nunit,1429,1096,58,134,141,19
LMMS,LMMS/lmms,1426,1184,83,65,94,20
firemodels,firemodels/fds-smv,1424,490,247,619,68,30
Mashape,Mashape/kong,1419,886,90,287,156,21
mozilla,mozilla/fxa-content-server,1416,765,117,439,95,32
mozilla,mozilla/science.mozilla.org,1415,792,166,202,255,17
